"","EventStartIndex","EventEndIndex","EventPSum","EventDuration","EventDurationMinutes","EventIntensity","PeakIntensity","EventStartTime","NAcount"
"9",2128,2236,17.7083333333333,109,545,1.94954128440367,1.06666666666667,"2011-01-08 09:15:00",0
"44",8095,8317,12.8916666666667,223,1115,0.69372197309417,1.63333333333333,"2011-01-29 02:30:00",0
"59",14557,14729,13.2083333333333,173,865,0.916184971098266,0.241666666666667,"2011-02-20 13:00:00",0
"96",25164,25301,12.4416666666667,138,690,1.08188405797101,0.491666666666667,"2011-03-29 08:55:00",0
"98",25586,25719,10.35,134,670,0.926865671641791,0.533333333333333,"2011-03-30 20:05:00",0
"183",54209,54432,11.6,224,1120,0.621428571428571,1.04166666666667,"2011-07-08 05:20:00",0
"210",59706,59775,12.5916666666667,70,350,2.15857142857143,1.56666666666667,"2011-07-27 07:25:00",0
"226",64765,64890,14.1583333333333,126,630,1.3484126984127,3.70833333333333,"2011-08-13 21:00:00",0
"237",67596,67706,14.675,111,555,1.58648648648649,0.75,"2011-08-23 16:55:00",0
"252",69641,69740,67.2,100,500,8.064,5.7,"2011-08-30 19:20:00",0
"258",71022,71130,15.3666666666667,109,545,1.69174311926606,1.25,"2011-09-04 14:25:00",0
"382",95830,95898,11.9,69,345,2.0695652173913,1.89166666666667,"2011-11-29 17:45:00",0
"384",95993,96215,17.35,223,1115,0.933632286995516,0.475,"2011-11-30 07:20:00",0
"33",6677,6745,6.725,69,345,1.1695652173913,0.416666666666667,"2011-01-24 04:20:00",0
"42",7930,7997,7.94166666666667,68,340,1.40147058823529,0.483333333333333,"2011-01-28 12:45:00",0
"120",35666,35744,7.19166666666667,79,395,1.09240506329114,0.633333333333333,"2011-05-04 20:05:00",0
"121",35805,35888,7.49166666666667,84,420,1.0702380952381,1.325,"2011-05-05 07:40:00",0
"151",43415,43475,6.675,61,305,1.31311475409836,0.575,"2011-05-31 17:50:00",0
"155",44847,44924,7.4,78,390,1.13846153846154,0.916666666666667,"2011-06-05 17:10:00",0
"239",67835,67867,5.89166666666667,33,165,2.14242424242424,2.60833333333333,"2011-08-24 12:50:00",0
"245",68156,68247,8.14166666666667,92,460,1.06195652173913,0.658333333333333,"2011-08-25 15:35:00",0
"246",68487,68559,6.8,73,365,1.11780821917808,1.36666666666667,"2011-08-26 19:10:00",0
"253",69875,69949,6.55833333333333,75,375,1.04933333333333,1.05,"2011-08-31 14:50:00",0
"270",73389,73451,7.16666666666667,63,315,1.36507936507937,0.475,"2011-09-12 19:40:00",0
"274",73884,73912,3.05,29,145,1.26206896551724,1.06666666666667,"2011-09-14 12:55:00",0
"281",74456,74492,4.475,37,185,1.45135135135135,1.08333333333333,"2011-09-16 12:35:00",0
"286",75037,75079,5.31666666666667,43,215,1.48372093023256,2.11666666666667,"2011-09-18 13:00:00",0
"287",75080,75101,1.91666666666667,22,110,1.04545454545455,1.75,"2011-09-18 16:35:00",0
"304",80016,80115,9.33333333333333,100,500,1.12,0.391666666666667,"2011-10-05 19:55:00",0
"332",89482,89522,4.43333333333333,41,205,1.29756097560976,2.01666666666667,"2011-11-07 16:45:00",0
"346",91595,91659,9.85,65,325,1.81846153846154,0.366666666666667,"2011-11-15 00:50:00",0
"394",99281,99323,4.725,43,215,1.31860465116279,1.13333333333333,"2011-12-11 17:20:00",0
